amostra,classe_esperada,classe_predita,acerto,esperado_raw,saida_raw
15,17,17,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0097, 0.0108, 0.0004, 0.0085, 0.0044, 0.0083, 0.0004, 0.0067, 0.0000, 0.0339, 0.0218, 0.0002, 0.0003, 0.0001, 0.0002, 0.0601, 0.0003, 0.9347, 0.0008, 0.0020, 0.0000, 0.0027, 0.0093, 0.0025, 0.0001, 0.0151]"
16,18,18,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0110, 0.4980, 0.0001, 0.0104, 0.0585, 0.0046, 0.0778, 0.0045, 0.0154, 0.0198, 0.0049, 0.0006, 0.0001, 0.0024, 0.0025, 0.0000, 0.0000, 0.0014, 0.9612, 0.0001, 0.0000, 0.0000, 0.0145, 0.0005, 0.0006, 0.0042]"
17,2,2,sim,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0008, 0.0010, 0.9479, 0.0192, 0.0231, 0.0048, 0.0305, 0.0000, 0.0098, 0.0001, 0.0065, 0.0221, 0.0001, 0.0002, 0.0090, 0.0009, 0.0094, 0.0014, 0.0006, 0.0409, 0.0027, 0.0219, 0.0002, 0.0000, 0.0001, 0.0017]"
18,24,24,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.0000, 0.0004, 0.0000, 0.0000, 0.0018, 0.0074, 0.0000, 0.0001, 0.0070, 0.0004, 0.0036, 0.0004, 0.0826, 0.0034, 0.0001, 0.0012, 0.0004, 0.0001, 0.0158, 0.0169, 0.0001, 0.0130, 0.0001, 0.1805, 0.9738, 0.0013]"
19,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0166, 0.0080, 0.0007, 0.0042, 0.0004, 0.9846, 0.0001, 0.0267, 0.0014, 0.0002, 0.0010, 0.0003, 0.0101, 0.0613, 0.0000, 0.0978, 0.0003, 0.1205, 0.0015, 0.0063, 0.0003, 0.0094, 0.0000, 0.0000, 0.0002]"
20,2,2,sim,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0034, 0.9642, 0.0039, 0.0476, 0.0010, 0.0284, 0.0003, 0.0069, 0.0000, 0.0802, 0.0233, 0.0002, 0.0002, 0.0204, 0.0005, 0.0064, 0.0007, 0.0002, 0.0228, 0.0358, 0.0106, 0.0001, 0.0000, 0.0002, 0.0082]"
21,14,3,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0173, 0.1681, 0.2955, 0.0002, 0.0000, 0.0593, 0.0000, 0.0318, 0.0021, 0.0000, 0.0063, 0.0003, 0.0001, 0.1430, 0.0004, 0.1131, 0.0001, 0.0005, 0.0010, 0.0132, 0.0003, 0.0014, 0.0000, 0.0000, 0.0259]"
22,3,14,nao,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0215, 0.0040, 0.0039, 0.0012, 0.0003, 0.0002, 0.0001, 0.0283, 0.0003, 0.0001, 0.1041, 0.0047, 0.0003, 0.1250, 0.0025, 0.0042, 0.0000, 0.0121, 0.0006, 0.0005, 0.0001, 0.0017, 0.0007, 0.0281, 0.0509]"
23,4,4,sim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0479, 0.0309, 0.0012, 0.8828, 0.1878, 0.0011, 0.0016, 0.0003, 0.0001, 0.0127, 0.0943, 0.0003, 0.0000, 0.0004, 0.0023, 0.0001, 0.0009, 0.0050, 0.0028, 0.0003, 0.0225, 0.0002, 0.0002, 0.0048, 0.0050]"
24,1,1,sim,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0064, 0.9271, 0.0002, 0.0045, 0.0884, 0.0004, 0.0458, 0.0077, 0.0004, 0.0066, 0.0025, 0.0011, 0.0001, 0.0002, 0.0006, 0.0001, 0.0009, 0.0294, 0.1069, 0.0001, 0.0005, 0.0012, 0.0015, 0.0002, 0.0002, 0.0376]"
25,13,13,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0018, 0.0000, 0.0000, 0.0064, 0.0000, 0.0009, 0.0019, 0.0345, 0.0001, 0.0001, 0.0084, 0.0011, 0.0081, 0.9704, 0.0002, 0.0000, 0.0173, 0.0227, 0.0092, 0.0052, 0.0041, 0.0004, 0.0203, 0.0580, 0.0002, 0.0000]"
26,20,20,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.0000, 0.0517, 0.0007, 0.0695, 0.0001, 0.0000, 0.0019, 0.1605, 0.0001, 0.0002, 0.0010, 0.0002, 0.1033, 0.0019, 0.0307, 0.0192, 0.0409, 0.0016, 0.0000, 0.0005, 0.6399, 0.0189, 0.0007, 0.0000, 0.0001, 0.0015]"
27,13,13,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0016, 0.0000, 0.0000, 0.0025, 0.0000, 0.0032, 0.0012, 0.0180, 0.0001, 0.0000, 0.0053, 0.0009, 0.0076, 0.9740, 0.0001, 0.0000, 0.0045, 0.0219, 0.0204, 0.0071, 0.0007, 0.0002, 0.0144, 0.1216, 0.0006, 0.0000]"
28,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0126, 0.0003, 0.0000, 0.0004, 0.0002, 0.0001, 0.0304, 0.0085, 0.0220, 0.0026, 0.0057, 0.0109, 0.0042, 0.0071, 0.0021, 0.0000, 0.0096, 0.0002, 0.0055, 0.0000, 0.0001, 0.0000, 0.9858, 0.0184, 0.0000, 0.0031]"
29,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0037, 0.0005, 0.0029, 0.0008, 0.0474, 0.0099, 0.0016, 0.0000, 0.1755, 0.0134, 0.0023, 0.6550, 0.0000, 0.0003, 0.0001, 0.0001, 0.0003, 0.0001, 0.0472, 0.0062, 0.0001, 0.0012, 0.0077, 0.0089, 0.0063, 0.0157]"
30,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0014, 0.0173, 0.0019, 0.0050, 0.0011, 0.0018, 0.7054, 0.0048, 0.0037, 0.0007, 0.0005, 0.0004, 0.0002, 0.0104, 0.0674, 0.0000, 0.0002, 0.0003, 0.0572, 0.0001, 0.0058, 0.0000, 0.0057, 0.0000, 0.0000, 0.0006]"
31,14,14,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0205, 0.0087, 0.0357, 0.0001, 0.0000, 0.0108, 0.0002, 0.0121, 0.0004, 0.0001, 0.0007, 0.0115, 0.0013, 0.9754, 0.0015, 0.0076, 0.0001, 0.0040, 0.0005, 0.0132, 0.0000, 0.0143, 0.0000, 0.0003, 0.0256]"
32,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004, 0.0028, 0.1134, 0.0010, 0.0036, 0.0005, 0.8386, 0.0003, 0.0271, 0.0002, 0.0020, 0.0572, 0.0001, 0.0036, 0.0331, 0.0000, 0.0188, 0.0001, 0.0215, 0.0010, 0.0238, 0.0003, 0.0057, 0.0000, 0.0000, 0.0012]"
33,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0004, 0.0001, 0.0199, 0.0040, 0.0053, 0.0116, 0.0008, 0.0000, 0.0962, 0.0019, 0.0009, 0.0020, 0.0001, 0.0010, 0.0001, 0.0007, 0.0033, 0.0002, 0.0082, 0.9384, 0.0001, 0.0092, 0.0001, 0.0025, 0.0107, 0.0064]"
34,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0000, 0.0247, 0.0003, 0.0037, 0.0095, 0.0010, 0.0000, 0.0484, 0.0408, 0.0009, 0.0001, 0.0002, 0.0000, 0.0001, 0.0012, 0.0063, 0.0004, 0.0022, 0.8916, 0.0000, 0.0377, 0.0001, 0.0004, 0.0088, 0.0085]"
35,25,3,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0126, 0.0018, 0.0676, 0.5602, 0.0411, 0.0048, 0.0017, 0.0007, 0.0151, 0.0418, 0.0015, 0.0846, 0.0000, 0.0000, 0.0004, 0.0101, 0.0004, 0.0008, 0.0004, 0.0123, 0.0004, 0.0024, 0.0063, 0.0007, 0.0000, 0.2247]"
36,9,9,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0042, 0.0010, 0.0021, 0.0674, 0.0109, 0.0067, 0.0036, 0.0000, 0.0316, 0.7861, 0.0001, 0.0180, 0.0001, 0.0000, 0.0001, 0.0009, 0.0047, 0.0044, 0.0147, 0.0128, 0.0000, 0.0638, 0.0062, 0.0008, 0.0005, 0.0092]"
37,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0007, 0.0683, 0.3934, 0.0080, 0.0005, 0.0060, 0.0074, 0.0003, 0.0001, 0.0218, 0.6512, 0.0000, 0.0021, 0.0001, 0.0002, 0.0045, 0.0079, 0.0003, 0.0015, 0.0627, 0.0114, 0.0003, 0.0002, 0.0000, 0.0033]"
38,3,3,sim,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003, 0.0158, 0.0001, 0.9935, 0.0000, 0.0000, 0.0001, 0.0055, 0.0003, 0.0011, 0.0000, 0.0003, 0.0021, 0.0026, 0.0178, 0.0320, 0.0003, 0.0041, 0.0003, 0.0002, 0.0055, 0.0000, 0.0026, 0.0002, 0.0000, 0.0175]"
39,25,25,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0007, 0.0014, 0.0023, 0.0041, 0.0107, 0.0001, 0.0000, 0.0001, 0.0033, 0.0044, 0.0012, 0.0080, 0.0001, 0.0000, 0.0001, 0.0080, 0.0077, 0.0003, 0.0001, 0.0329, 0.0000, 0.0015, 0.0002, 0.0142, 0.0060, 0.9588]"
40,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0002, 0.0126, 0.0005, 0.0357, 0.1325, 0.0002, 0.0000, 0.0186, 0.0005, 0.0008, 0.0204, 0.0004, 0.0002, 0.0001, 0.0014, 0.0003, 0.0000, 0.0083, 0.6544, 0.0001, 0.0144, 0.0001, 0.0027, 0.1429, 0.0029]"
41,19,8,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0016, 0.0002, 0.0049, 0.0004, 0.0079, 0.0068, 0.0007, 0.0000, 0.4483, 0.4215, 0.0003, 0.0024, 0.0002, 0.0000, 0.0002, 0.0008, 0.0009, 0.0000, 0.0136, 0.0913, 0.0000, 0.0051, 0.0007, 0.0016, 0.0428, 0.0727]"
42,7,7,sim,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0319, 0.0015, 0.0000, 0.0055, 0.0001, 0.0013, 0.0043, 0.9495, 0.0000, 0.0002, 0.0054, 0.0007, 0.0049, 0.0271, 0.0001, 0.0026, 0.0007, 0.0085, 0.0001, 0.0001, 0.0118, 0.0018, 0.0124, 0.0010, 0.0000, 0.0003]"
43,24,5,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.0004, 0.0001, 0.0298, 0.0127, 0.0338, 0.5152, 0.0002, 0.0003, 0.0016, 0.0141, 0.0084, 0.0108, 0.0002, 0.0002, 0.0001, 0.0126, 0.0001, 0.0019, 0.0196, 0.3472, 0.0001, 0.0304, 0.0002, 0.0014, 0.0323, 0.0007]"
44,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003, 0.0034, 0.0147, 0.0027, 0.0065, 0.0039, 0.9493, 0.0010, 0.0152, 0.0014, 0.0006, 0.0022, 0.0001, 0.0073, 0.0431, 0.0000, 0.0035, 0.0005, 0.0577, 0.0015, 0.0241, 0.0005, 0.0106, 0.0000, 0.0000, 0.0002]"
45,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0001, 0.0545, 0.0030, 0.0407, 0.2748, 0.0004, 0.0000, 0.0042, 0.0017, 0.0006, 0.0023, 0.0001, 0.0001, 0.0000, 0.0123, 0.0021, 0.0007, 0.0059, 0.9700, 0.0000, 0.0180, 0.0000, 0.0020, 0.0364, 0.0088]"
46,0,0,sim,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.9922, 0.0003, 0.0006, 0.0066, 0.0002, 0.0151, 0.0133, 0.0028, 0.0008, 0.0098, 0.0077, 0.0022, 0.0001, 0.0050, 0.0000, 0.0002, 0.0010, 0.0722, 0.0019, 0.0006, 0.0000, 0.0004, 0.0239, 0.0666, 0.0000, 0.0011]"
47,18,18,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0016, 0.0011, 0.0007, 0.0100, 0.0028, 0.0034, 0.0000, 0.0188, 0.0014, 0.0123, 0.0215, 0.0000, 0.0399, 0.0003, 0.0000, 0.0005, 0.0044, 0.9868, 0.0027, 0.0001, 0.0003, 0.0015, 0.0037, 0.0199, 0.0001]"
48,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0208, 0.0000, 0.0000, 0.0001, 0.0003, 0.0032, 0.0003, 0.0001, 0.0009, 0.0029, 0.1210, 0.0090, 0.0000, 0.0047, 0.0000, 0.0001, 0.0023, 0.0151, 0.0047, 0.0238, 0.0000, 0.0012, 0.0014, 0.7866, 0.0072, 0.0213]"
49,7,7,sim,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0366, 0.0020, 0.0000, 0.0105, 0.0001, 0.0005, 0.0007, 0.9145, 0.0000, 0.0001, 0.0062, 0.0002, 0.0222, 0.0051, 0.0000, 0.0312, 0.0044, 0.0133, 0.0000, 0.0004, 0.0103, 0.0093, 0.0063, 0.0015, 0.0000, 0.0013]"
50,25,25,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0011, 0.0089, 0.0015, 0.0172, 0.0933, 0.0002, 0.0002, 0.0002, 0.0019, 0.0017, 0.0006, 0.0156, 0.0000, 0.0000, 0.0000, 0.0017, 0.0058, 0.0004, 0.0003, 0.0336, 0.0000, 0.0006, 0.0001, 0.0051, 0.0014, 0.8900]"
51,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0138, 0.0001, 0.0000, 0.0003, 0.0001, 0.0021, 0.0091, 0.0075, 0.0103, 0.0007, 0.0024, 0.0010, 0.0066, 0.0905, 0.0005, 0.0000, 0.0015, 0.0007, 0.0008, 0.0006, 0.0003, 0.0000, 0.9395, 0.0048, 0.0000, 0.0000]"
52,7,7,sim,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0559, 0.0001, 0.0111, 0.0001, 0.0001, 0.0016, 0.8023, 0.0000, 0.0001, 0.0131, 0.0000, 0.0773, 0.0444, 0.0041, 0.0014, 0.0003, 0.0194, 0.0003, 0.0001, 0.1715, 0.0011, 0.0081, 0.0002, 0.0001, 0.0002]"
53,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0004, 0.0001, 0.0199, 0.0040, 0.0053, 0.0116, 0.0008, 0.0000, 0.0962, 0.0019, 0.0009, 0.0020, 0.0001, 0.0010, 0.0001, 0.0007, 0.0033, 0.0002, 0.0082, 0.9384, 0.0001, 0.0092, 0.0001, 0.0025, 0.0107, 0.0064]"
54,16,16,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0004, 0.0091, 0.0070, 0.0001, 0.0000, 0.0159, 0.0002, 0.0093, 0.0000, 0.0006, 0.0448, 0.0076, 0.0053, 0.0155, 0.0000, 0.9731, 0.0001, 0.0001, 0.0039, 0.3167, 0.0046, 0.0074, 0.0000, 0.0001, 0.0031]"
55,13,13,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0039, 0.0001, 0.0001, 0.0179, 0.0000, 0.0012, 0.0050, 0.2124, 0.0000, 0.0001, 0.0172, 0.0009, 0.0025, 0.6209, 0.0005, 0.0002, 0.0012, 0.0229, 0.0021, 0.0029, 0.0529, 0.0018, 0.0096, 0.0027, 0.0000, 0.0000]"
56,19,8,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0007, 0.0003, 0.0008, 0.0041, 0.0035, 0.0011, 0.0008, 0.0000, 0.3669, 0.0276, 0.0001, 0.0915, 0.0001, 0.0007, 0.0000, 0.0000, 0.0087, 0.0001, 0.0150, 0.1999, 0.0003, 0.0438, 0.0014, 0.0048, 0.0113, 0.0075]"
