amostra,classe_esperada,classe_predita,acerto,esperado_raw,saida_raw
21,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0012, 0.0061, 0.0048, 0.0119, 0.0014, 0.0008, 0.0002, 0.0000, 0.0000, 0.0036, 0.2538, 0.0000, 0.0009, 0.0000, 0.0000, 0.0154, 0.0022, 0.0003, 0.0015, 0.0002, 0.0048, 0.0001, 0.0002, 0.0001, 0.0003]"
22,4,11,nao,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0087, 0.1105, 0.0052, 0.1441, 0.0055, 0.0001, 0.0001, 0.0042, 0.0002, 0.0001, 0.5547, 0.0000, 0.0000, 0.0001, 0.0011, 0.0022, 0.0001, 0.0008, 0.0007, 0.0002, 0.0023, 0.0015, 0.0001, 0.0007, 0.0127]"
23,0,0,sim,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5442, 0.0030, 0.0000, 0.0007, 0.0000, 0.0034, 0.0033, 0.0049, 0.0000, 0.0128, 0.0006, 0.0000, 0.0197, 0.0003, 0.0008, 0.0181, 0.0000, 0.0085, 0.0001, 0.0003, 0.0000, 0.0000, 0.0495, 0.0011, 0.0000, 0.0003]"
24,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0528, 0.0002, 0.0191, 0.0064, 0.0040, 0.0106, 0.0050, 0.0005, 0.0002, 0.0002, 0.0143, 0.6506, 0.0000, 0.0007, 0.0000, 0.0000, 0.0018, 0.0075, 0.0002, 0.0001, 0.0000, 0.0019, 0.0095, 0.0004, 0.0000, 0.0003]"
25,3,14,nao,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0007, 0.0001, 0.0763, 0.0000, 0.0000, 0.0020, 0.0020, 0.0007, 0.0001, 0.0000, 0.0000, 0.0088, 0.0110, 0.4107, 0.0008, 0.0012, 0.0003, 0.0050, 0.0410, 0.0081, 0.0000, 0.0019, 0.0000, 0.0000, 0.0018]"
26,13,13,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0012, 0.0001, 0.0000, 0.0091, 0.0000, 0.0020, 0.0631, 0.2172, 0.0000, 0.0001, 0.0006, 0.0000, 0.0202, 0.5186, 0.0043, 0.0005, 0.0007, 0.0070, 0.0001, 0.0003, 0.0417, 0.0001, 0.2238, 0.0000, 0.0000, 0.0000]"
27,4,5,nao,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0042, 0.0011, 0.0002, 0.0000, 0.0274, 0.1775, 0.0002, 0.0001, 0.0173, 0.0450, 0.0001, 0.0136, 0.0000, 0.0000, 0.0000, 0.0001, 0.0000, 0.0013, 0.0460, 0.0004, 0.0000, 0.0001, 0.1123, 0.0065, 0.0009, 0.0012]"
28,12,12,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0033, 0.0004, 0.0001, 0.0208, 0.0001, 0.9649, 0.0015, 0.0034, 0.0015, 0.0002, 0.0005, 0.0000, 0.0000, 0.0031, 0.0047, 0.0714, 0.0001, 0.0003, 0.0000]"
29,24,24,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.0000, 0.0000, 0.0000, 0.0000, 0.0011, 0.0363, 0.0000, 0.0014, 0.0004, 0.0008, 0.0004, 0.0001, 0.0645, 0.0000, 0.0000, 0.0484, 0.0001, 0.0002, 0.0007, 0.0039, 0.0000, 0.0127, 0.0005, 0.0407, 0.8226, 0.0033]"
30,7,7,sim,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0000, 0.0000, 0.0009, 0.0002, 0.0871, 0.0000, 0.8529, 0.0000, 0.0000, 0.0536, 0.0039, 0.0233, 0.0016, 0.0000, 0.0250, 0.0000, 0.0004, 0.0000, 0.0002, 0.0209, 0.0027, 0.0603, 0.0007, 0.0018, 0.0001]"
31,0,1,nao,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1761, 0.4656, 0.0000, 0.1930, 0.0000, 0.0000, 0.0023, 0.0000, 0.0001, 0.0263, 0.0000, 0.0000, 0.0235, 0.0010, 0.0102, 0.0080, 0.0007, 0.1778, 0.0062, 0.0003, 0.0000, 0.0000, 0.0015, 0.0012, 0.0000, 0.0010]"
32,21,21,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0001, 0.0078, 0.0000, 0.0005, 0.0003, 0.0000, 0.0000, 0.0131, 0.0000, 0.0062, 0.0001, 0.0059, 0.0973, 0.0000, 0.0000, 0.0034, 0.0113, 0.0008, 0.0000, 0.0007, 0.1653, 0.9409, 0.0027, 0.0000, 0.0005, 0.0007]"
33,15,17,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0046, 0.0074, 0.0002, 0.0286, 0.0000, 0.0017, 0.0001, 0.0053, 0.0000, 0.0031, 0.0077, 0.0000, 0.0056, 0.0019, 0.0001, 0.2242, 0.0002, 0.9318, 0.0002, 0.0010, 0.0000, 0.0069, 0.0017, 0.0002, 0.0000, 0.0001]"
34,25,4,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0083, 0.0014, 0.0003, 0.0000, 0.3494, 0.1647, 0.0002, 0.0002, 0.0038, 0.0053, 0.0014, 0.0009, 0.0000, 0.0000, 0.0000, 0.0007, 0.0001, 0.0045, 0.0266, 0.0193, 0.0000, 0.0001, 0.0033, 0.0579, 0.0050, 0.2506]"
35,10,13,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0000, 0.0009, 0.0000, 0.0003, 0.0007, 0.0006, 0.0001, 0.0026, 0.0000, 0.0781, 0.0002, 0.0003, 0.2159, 0.0001, 0.0000, 0.0049, 0.0057, 0.0016, 0.0094, 0.0001, 0.0000, 0.0098, 0.0008, 0.0003, 0.0000]"
36,15,15,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0034, 0.0078, 0.0003, 0.0143, 0.0001, 0.0271, 0.0000, 0.0061, 0.0000, 0.3398, 0.0000, 0.0000, 0.0087, 0.0000, 0.0007, 0.9741, 0.0000, 0.0386, 0.0001, 0.0105, 0.0000, 0.0051, 0.0128, 0.0018, 0.0001, 0.0457]"
37,18,18,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0015, 0.0084, 0.0002, 0.0000, 0.0389, 0.0533, 0.3159, 0.0013, 0.0033, 0.0000, 0.0001, 0.0024, 0.0002, 0.0033, 0.0006, 0.0000, 0.0001, 0.0001, 0.4235, 0.0027, 0.0001, 0.0000, 0.0002, 0.0000, 0.0014, 0.0000]"
38,23,4,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0016, 0.0061, 0.0002, 0.0000, 0.7076, 0.0392, 0.0001, 0.0001, 0.0002, 0.0001, 0.0539, 0.0339, 0.0000, 0.0003, 0.0000, 0.0000, 0.0069, 0.0697, 0.0096, 0.0000, 0.0000, 0.0005, 0.0184, 0.1608, 0.0033, 0.0050]"
39,24,24,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.0000, 0.0000, 0.0000, 0.0000, 0.0012, 0.0099, 0.0000, 0.0001, 0.0017, 0.0001, 0.0007, 0.0011, 0.0645, 0.0004, 0.0000, 0.0007, 0.0003, 0.0001, 0.0046, 0.0091, 0.0000, 0.0710, 0.0001, 0.0109, 0.8769, 0.0000]"
40,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0811, 0.0001, 0.0000, 0.0001, 0.0000, 0.0004, 0.0006, 0.0011, 0.0013, 0.0227, 0.0001, 0.0033, 0.0071, 0.0002, 0.0003, 0.0000, 0.0001, 0.0001, 0.0016, 0.0000, 0.0000, 0.0000, 0.8883, 0.0097, 0.0000, 0.0001]"
41,7,7,sim,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0092, 0.0004, 0.0000, 0.0002, 0.0000, 0.0000, 0.0025, 0.6522, 0.0000, 0.0002, 0.0002, 0.0000, 0.1092, 0.0076, 0.0002, 0.0008, 0.0049, 0.3010, 0.0001, 0.0003, 0.0045, 0.0011, 0.0180, 0.0001, 0.0000, 0.0000]"
42,19,19,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0018, 0.0000, 0.0554, 0.0005, 0.0019, 0.0034, 0.0001, 0.0000, 0.0945, 0.0128, 0.0001, 0.0094, 0.0000, 0.0000, 0.0002, 0.0025, 0.0010, 0.0001, 0.0003, 0.5423, 0.0000, 0.0035, 0.0005, 0.0003, 0.0008, 0.0661]"
43,2,2,sim,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0048, 0.9711, 0.0824, 0.0026, 0.0002, 0.0018, 0.0000, 0.0014, 0.0002, 0.0017, 0.0010, 0.0001, 0.0000, 0.1475, 0.1274, 0.0011, 0.0004, 0.0003, 0.0294, 0.0074, 0.0007, 0.0000, 0.0000, 0.0002, 0.0290]"
44,3,2,nao,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0088, 0.6079, 0.0169, 0.0092, 0.0000, 0.0028, 0.0000, 0.0004, 0.0011, 0.0014, 0.0015, 0.0000, 0.0000, 0.0011, 0.0027, 0.0534, 0.0239, 0.0042, 0.0114, 0.0000, 0.0024, 0.0001, 0.0001, 0.0002, 0.0217]"
45,0,0,sim,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1183, 0.0000, 0.0278, 0.0002, 0.0008, 0.1029, 0.0034, 0.0002, 0.0002, 0.0007, 0.0043, 0.0029, 0.0005, 0.0004, 0.0000, 0.0022, 0.0012, 0.0313, 0.0000, 0.0126, 0.0000, 0.0122, 0.0090, 0.0032, 0.0000, 0.0002]"
46,18,18,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0277, 0.0000, 0.0010, 0.0005, 0.0070, 0.2962, 0.0003, 0.0004, 0.0102, 0.0000, 0.0001, 0.0001, 0.0114, 0.0063, 0.0001, 0.0004, 0.0002, 0.5459, 0.0090, 0.0008, 0.0001, 0.0016, 0.0001, 0.0003, 0.0000]"
47,16,16,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0010, 0.0000, 0.0051, 0.0000, 0.0004, 0.0001, 0.1927, 0.0000, 0.0013, 0.0000, 0.0011, 0.0020, 0.0018, 0.0227, 0.0002, 0.0000, 0.8707, 0.0048, 0.0004, 0.0032, 0.0006, 0.0061, 0.0022, 0.0000, 0.0000, 0.0000]"
48,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0219, 0.0015, 0.0000, 0.0000, 0.0004, 0.0011, 0.0174, 0.0232, 0.0039, 0.0015, 0.0000, 0.0310, 0.0012, 0.0050, 0.0000, 0.0000, 0.0115, 0.0001, 0.0132, 0.0000, 0.0000, 0.0000, 0.9062, 0.0569, 0.0000, 0.0006]"
49,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0157, 0.0002, 0.0002, 0.0001, 0.0000, 0.0012, 0.0024, 0.0002, 0.0213, 0.0295, 0.0002, 0.0018, 0.0008, 0.0000, 0.0135, 0.0002, 0.0005, 0.0002, 0.0011, 0.0003, 0.0000, 0.0000, 0.9325, 0.0022, 0.0000, 0.0193]"
50,25,25,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0282, 0.0005, 0.0064, 0.0000, 0.1570, 0.0001, 0.0002, 0.0000, 0.1075, 0.0004, 0.0318, 0.0057, 0.0000, 0.0000, 0.0000, 0.0001, 0.0158, 0.0002, 0.0016, 0.0207, 0.0000, 0.0001, 0.0001, 0.0274, 0.0071, 0.9257]"
51,18,18,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0007, 0.0025, 0.0001, 0.0037, 0.0002, 0.0049, 0.2564, 0.0000, 0.0057, 0.0349, 0.0000, 0.0107, 0.0000, 0.0080, 0.0002, 0.0000, 0.0032, 0.0002, 0.7793, 0.0115, 0.0005, 0.0001, 0.0119, 0.0003, 0.0002, 0.0001]"
52,21,21,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0000, 0.0001, 0.0090, 0.0004, 0.0001, 0.0001, 0.0014, 0.0004, 0.0001, 0.0011, 0.0002, 0.0055, 0.0064, 0.0000, 0.0040, 0.0017, 0.0460, 0.0002, 0.0000, 0.0023, 0.2963, 0.7054, 0.0046, 0.0000, 0.0000, 0.0000]"
53,1,9,nao,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0027, 0.0458, 0.0001, 0.0007, 0.0000, 0.0000, 0.0013, 0.0026, 0.0002, 0.1845, 0.0001, 0.0022, 0.0001, 0.0002, 0.0020, 0.0001, 0.0001, 0.0001, 0.0040, 0.0001, 0.0091, 0.0005, 0.0111, 0.0017, 0.0000, 0.0020]"
54,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0073, 0.0000, 0.0001, 0.0002, 0.0009, 0.0029, 0.0000, 0.0001, 0.0004, 0.0001, 0.0384, 0.0005, 0.0004, 0.0073, 0.0000, 0.0002, 0.0000, 0.0310, 0.0027, 0.0026, 0.0000, 0.0000, 0.0009, 0.9220, 0.0055, 0.0018]"
55,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0122, 0.0005, 0.0000, 0.0002, 0.0000, 0.0006, 0.0022, 0.0574, 0.0009, 0.0009, 0.0000, 0.0034, 0.0220, 0.0027, 0.0005, 0.0001, 0.0009, 0.0001, 0.0003, 0.0000, 0.0000, 0.0000, 0.9668, 0.0200, 0.0000, 0.0003]"
56,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0031, 0.0004, 0.0000, 0.0001, 0.0014, 0.0032, 0.0001, 0.0046, 0.0000, 0.0001, 0.1781, 0.0029, 0.0001, 0.0436, 0.0000, 0.0000, 0.0001, 0.0184, 0.0495, 0.0000, 0.0000, 0.0002, 0.0018, 0.3820, 0.0109, 0.0000]"
